City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,73.72,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
7,Atuona,PF,78.85,overcast clouds,-9.8,-139.0333,Villa Enata
8,Uige,AO,75.72,broken clouds,-7.6087,15.0613,Hotel Catraio
11,Guerrero Negro,MX,70.45,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
20,Benicarlo,ES,80.91,overcast clouds,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
24,Rikitea,PF,76.28,clear sky,-23.1203,-134.9692,People ThankYou
31,Vaini,TO,71.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
32,Elizabeth City,US,73.42,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
33,Ponta Do Sol,PT,76.71,clear sky,32.6667,-17.1,Hotel do Campo
38,Kerema,PG,78.12,overcast clouds,-7.9631,145.7785,Frena Lodge
44,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
48,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
53,Puerto Penasco,MX,73.9,clear sky,31.3167,-113.5333,Playa Bonita Resort
60,Butaritari,KI,80.47,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
67,Kovilpatti,IN,82.83,overcast clouds,9.1667,77.8667,Ananda Lodge
69,Karratha,AU,75.9,clear sky,-20.7377,116.8463,ibis Styles Karratha
70,Faanui,PF,81.12,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
71,Jamestown,US,77.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
73,Ambunti,PG,74.16,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
74,Dingle,PH,78.87,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
77,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
79,Souillac,MU,74.39,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
81,Padang,ID,79.66,few clouds,-0.9492,100.3543,Mercure Padang
83,Quatre Cocos,MU,73.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
87,Eufaula,US,80.33,scattered clouds,31.8913,-85.1455,Days Inn by Wyndham Eufaula AL
90,Oil City,US,78.8,clear sky,41.4339,-79.7064,Days Inn by Wyndham Oil City Conference Center
91,Santa Cruz,BO,80.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
105,Arraial Do Cabo,BR,76.86,few clouds,-22.9661,-42.0278,Pousada Porto Praia
106,Mahebourg,MU,73.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
107,Kavieng,PG,81.79,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
115,Sao Filipe,CV,78.04,broken clouds,14.8961,-24.4956,Hotel Xaguate
117,Puri,IN,84.72,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
124,Vao,NC,73.31,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
125,Samarai,PG,81.14,scattered clouds,-10.6167,150.6667,Nuli Sapi
131,Huddersfield,GB,73.62,broken clouds,53.649,-1.7842,Cambridge Hotel
139,Xuddur,SO,81.37,light rain,4.1213,43.8894,Banjanay Hotel
141,Bubaque,GW,78.62,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
142,Bani,DO,80.85,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
144,Aix-En-Provence,FR,79.36,broken clouds,43.5283,5.4497,Hôtel Le Pigonnet 5 étoiles
145,Pitimbu,BR,84.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
154,Kuching,MY,82.62,few clouds,1.55,110.3333,Hilton Kuching
156,Bandarbeyla,SO,83.21,clear sky,9.4942,50.8122,JABIR HOTEL
159,Maragogi,BR,83.64,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
162,Hambantota,LK,78.46,overcast clouds,6.1241,81.1185,Bungalow 63
164,Bambous Virieux,MU,75.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
169,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
173,Namatanai,PG,78.21,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
177,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
178,Luanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
182,Pokhara,NP,75.65,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
185,Mahibadhoo,MV,83.5,light rain,3.7833,72.9667,Omadhoo Inn
190,Quelimane,MZ,75.15,few clouds,-17.8786,36.8883,Hotel Flamingo
197,Sabha,LY,81.95,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
200,Baculin,PH,78.24,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
203,Meulaboh,ID,80.83,overcast clouds,4.1363,96.1285,Kost Pria
205,Cochabamba,BO,73.8,few clouds,-17.3895,-66.1568,Hotel Aranjuez Cochabamba
212,Lardos,GR,71.94,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
216,Saint-Francois,FR,79.68,clear sky,46.4154,3.9054,Manoir Du Bonheur
218,Dharchula,IN,72.52,broken clouds,29.85,80.5333,Mahara Hotel
223,San Quintin,MX,70.65,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
227,Jalu,LY,81.46,clear sky,29.0331,21.5482,صاحبة الفخامة
228,Sheboygan,US,78.73,clear sky,43.7333,-87.9334,Baymont by Wyndham Plymouth
229,Bethel,US,81.18,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
230,Santa Isabel Do Rio Negro,BR,80.85,overcast clouds,-0.4139,-65.0192,Hotel GSA
231,Jobabo,CU,82.42,overcast clouds,20.9692,-76.2994,Motel De Aguas Claras
234,Prescott,US,77.34,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
235,Ahuimanu,US,74.91,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
237,Half Moon Bay,US,70.88,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
238,Cabo San Lucas,MX,84.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
240,Ortigueira,BR,71.89,overcast clouds,-24.2083,-50.9494,Village das Araucárias
243,Cam Ranh,VN,80.56,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
246,Namibe,AO,75.56,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
252,Kieta,PG,77.07,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
255,Nago,JP,73.83,light rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
258,Ha Giang,VN,74.43,overcast clouds,22.8333,104.9833,Truong Xuan Resort
259,Saint-Raymond,CA,84.42,clear sky,45.467,-73.6095,La Tour Belvedere hotel
261,Cortland,US,78.76,scattered clouds,42.6001,-76.083,Cortland Motel
263,Ixtapa,MX,82.22,scattered clouds,20.7,-105.2,hotel la terminal
264,Vanimo,PG,78.46,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
265,Marsabit,KE,71.49,broken clouds,2.3284,37.9899,Chicho Hotel
267,Tello,CO,71.02,overcast clouds,3.0669,-75.1378,Luis fernando cruz triana
268,Castro,BR,70.18,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
270,Hamilton,US,83.03,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
271,Tonantins,BR,83.55,moderate rain,-2.8731,-67.8022,Hotel Hortensias
274,Hauterive,FR,79.56,overcast clouds,46.0901,3.4459,Aletti Palace Hotel
279,Iguape,BR,73.76,broken clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
280,Acarau,BR,82.17,overcast clouds,-2.8856,-40.12,castelo pizzaria
283,Idar,DE,75.24,scattered clouds,49.7167,7.3,Diamanthotel-Handelshof
288,Kahului,US,74.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
295,Mogadishu,SO,81.32,broken clouds,2.0371,45.3438,Hotel Juba
296,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
297,Les Herbiers,FR,80.31,overcast clouds,46.8667,-1.0167,Maison Marie Barrault
301,Faya,SA,77.11,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
312,Khunti,IN,82.51,broken clouds,23.0833,85.2833,Mohan sharma house
314,Gold Coast,AU,73.47,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
315,Constantine,DZ,83.61,few clouds,36.365,6.6147,Grand Hotel Cirta
316,Maumere,ID,79.77,clear sky,-8.6199,122.2111,Sylvia Hotel
319,Kon Tum,VN,73.31,overcast clouds,14.35,108.0,Hoa đà spa- homestay
324,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Mini Central
327,Hithadhoo,MV,83.37,broken clouds,-0.6,73.0833,Scoop Guest House
332,Kirakira,SB,78.66,clear sky,-10.4544,161.9205,SanBiz Lodge
333,Lompoc,US,79.93,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
337,Governador Valadares,BR,83.75,broken clouds,-18.8511,-41.9494,Hotel Panorama
339,Breclav,CZ,76.17,few clouds,48.759,16.882,Hotel Rose
341,Kapit,MY,73.8,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
344,Ocampo,MX,74.19,overcast clouds,21.65,-101.5,Hotel Estancia del Vaquero
345,Abu Dhabi,AE,82.51,clear sky,24.4667,54.3667,Beach Rotana
351,Amalapuram,IN,84.18,clear sky,16.5833,82.0167,swayamprabha service apartments
353,Mana,GF,80.15,moderate rain,5.6592,-53.7767,LE SAMANA
356,Poquoson,US,73.04,mist,37.1224,-76.3458,Whitehouse Cove
357,Albina,SR,77.32,moderate rain,5.5,-54.05,Hudace
359,Manggar,ID,82.63,overcast clouds,-2.8833,108.2667,Guest Hotel
360,Marbella,ES,71.02,clear sky,36.5154,-4.8858,Hotel Fuerte Marbella
363,Mackay,AU,70.68,overcast clouds,-21.15,149.2,International Lodge Motel
367,Gilgit,PK,73.11,overcast clouds,35.9221,74.3087,Tourist Hamlet Gilgit
368,Broome,US,78.21,broken clouds,42.2506,-75.833,Chenango Valley State Park
370,Pacifica,US,70.68,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
374,Andros Town,BS,80.56,clear sky,24.7,-77.7667,Hanks place
379,Mataram,ID,77.81,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
380,Itoman,JP,73.78,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
384,Tura,IN,73.51,light rain,25.5198,90.2201,Hotel RIKMAN Continental
385,Bairiki,KI,78.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
388,Columbus,US,81.39,scattered clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
390,Sao Joao Da Barra,BR,80.69,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
392,Viransehir,TR,75.06,overcast clouds,37.2353,39.7631,Viranşehir Öğretmenevi
396,Beatrice,US,81.18,clear sky,40.2681,-96.747,Victorian Inn Beatrice
399,Palmer,US,83.95,broken clouds,42.1584,-72.3287,Wedgewood Motel
401,Tete,MZ,78.89,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
407,Mangaldai,IN,75.07,few clouds,26.4333,92.0333,Hotel Siddarth Palace
409,Mizdah,LY,81.18,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
411,Buarcos,PT,71.56,broken clouds,40.166,-8.8768,Hotel Sweet Atlantic SPA
412,Betioky,MG,73.87,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
415,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
416,Vung Tau,VN,84.27,broken clouds,10.346,107.0843,Seaside Resort
417,Kiunga,PG,72.81,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
418,Bowen,AU,74.39,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
419,Vilhena,BR,84.42,scattered clouds,-12.7406,-60.1458,Hotel Mirage
420,Valle De Allende,MX,81.12,few clouds,26.9333,-105.4,Hotel Meson de San Bartolome
426,Saint-Pierre,RE,74.88,few clouds,-21.3393,55.4781,Alize Plage
428,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
431,Gushikawa,JP,72.99,light rain,26.3544,127.8686,Kirari Guest House
436,Nanakuli,US,75.15,clear sky,21.3906,-158.1547,Camp Pālehua
437,Omboue,GA,81.93,overcast clouds,-1.5746,9.2618,Hotel Olako
438,Virginia Beach,US,73.44,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
441,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
443,Sao Sebastiao,BR,75.49,scattered clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
444,Peruibe,BR,74.23,broken clouds,-24.32,-46.9983,Hotel Pousada Xapuri
445,Qui Nhon,VN,81.48,broken clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
446,Isangel,VU,72.99,overcast clouds,-19.55,169.2667,Tanna Lodge
450,Merrill,US,77.77,clear sky,45.1805,-89.6835,Prairie Motel
456,Clovis,US,78.84,clear sky,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
459,Kalmunai,LK,80.26,overcast clouds,7.4167,81.8167,VS Villa
460,Mahon,ES,73.96,clear sky,39.8885,4.2658,ARTIEM Capri
462,Conde,BR,83.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
463,Moindou,NC,72.99,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
466,Imbituva,BR,70.5,overcast clouds,-25.23,-50.6044,Hotel Estrela
467,Moerai,PF,78.58,light rain,-22.4333,-151.3333,Le Manotel
469,Bandrele,YT,80.35,overcast clouds,-12.9067,45.1914,Les Baobabs
470,Belmonte,BR,77.59,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
475,Bengkulu,ID,79.5,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
478,Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
488,Rincon,US,80.56,scattered clouds,32.296,-81.2354,Days Inn Rincon
489,Saint George,US,75.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
493,Atambua,ID,73.96,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
494,Kigoma,TZ,76.35,few clouds,-4.8769,29.6267,MJI Mwema Lodge
495,Veraval,IN,83.88,clear sky,20.9,70.3667,Lords Inn Somnath
499,Gazanjyk,TM,76.26,clear sky,39.2446,55.5154,Railway motel
504,Neon Karlovasion,GR,72.91,clear sky,37.7903,26.7044,Hotel Aegeon
505,Hilton Head Island,US,80.71,broken clouds,32.2163,-80.7526,Disney’s Hilton Head Island Resort
506,Palu,ID,76.21,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
509,Sault Sainte Marie,CA,77.56,broken clouds,46.5168,-84.3333,Comfort Inn
515,Honiara,SB,77.22,clear sky,-9.4333,159.95,Heritage Park Hotel
520,Canico,PT,76.71,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
527,Hopatcong,US,75.74,overcast clouds,40.9329,-74.6593,"Holiday Inn Express & Suites Mount Arlington-Rockaway Area, an IHG Hotel"
530,Dawson,US,81.82,clear sky,31.7735,-84.4466,Country Hearth Inn & Suites Dawson
531,Pachino,IT,70.93,clear sky,36.7186,15.0907,Il Veliero
532,Libertyville,US,81.45,clear sky,42.2831,-87.9531,"Holiday Inn Express & Suites Chicago-Libertyville, an IHG Hotel"
534,Pangai,TO,76.19,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
541,Pio Xii,BR,84.51,broken clouds,-3.8325,-45.1525,BACURI DOS QUARESMAS
546,Japura,ID,76.69,scattered clouds,-0.3167,102.35,Rumah mbah Jamah
555,Saurimo,AO,76.26,clear sky,-9.6608,20.3916,Hotel Kawissa Saurimo
558,Saint Paul,US,76.5,clear sky,44.9444,-93.0933,"InterContinental Saint Paul Riverfront, an IHG Hotel"
564,Camara De Lobos,PT,76.71,few clouds,32.6333,-16.9667,Golden Residence Hotel
566,Zelezniki,SI,70.29,light rain,46.2333,14.1667,Cosy Apartment Pr Potokar
567,Laguna,US,77.02,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
574,Shache,CN,71.71,overcast clouds,38.4167,77.2406,Delong Hotel
576,Lasa,IT,72.48,few clouds,46.6166,10.7002,Pension Feldgärtenhof
578,Florencia,IT,79.25,clear sky,43.7667,11.25,Hotel Nuova Italia
579,Tabuk,PH,73.83,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
582,Payo,ID,76.66,broken clouds,-3.7508,103.6372,Mess keban agung
583,Biak,ID,76.55,overcast clouds,-0.9131,122.8766,Penginapan Kim
588,Bourail,NC,71.71,overcast clouds,-21.5667,165.4833,Motel Allamanda
589,Bhongir,IN,78.1,overcast clouds,17.5108,78.8889,Hotel Vivera
593,Sinnamary,GF,81.7,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
594,Cap Malheureux,MU,73.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
598,Silver City,US,80.64,clear sky,32.7701,-108.2803,Copper Manor Motel
599,Awjilah,LY,80.92,clear sky,29.1081,21.2869,المنزل
604,Singaraja,ID,80.71,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
611,Siniscola,IT,74.75,clear sky,40.5719,9.6922,Hotel Sa Tanca E Bore
612,Tual,ID,84.0,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
616,Muisne,EC,79.09,light rain,0.6,-80.0333,Quinta Samay
620,Ratnagiri,IN,82.8,scattered clouds,16.9833,73.3,Hotel Landmark
621,Bud,US,84.92,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
623,Sumbe,AO,78.37,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
624,Majene,ID,78.84,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
625,Rio De Janeiro,BR,80.55,few clouds,-22.9028,-43.2075,Hotel cruz de ouro
626,Yambio,SS,73.49,light rain,4.5721,28.3955,Naivasha Hotel
630,Balkanabat,TM,75.79,clear sky,39.5108,54.3671,Nebitchi Hotel
634,Nantucket,US,77.11,fog,41.2835,-70.0995,Jared Coffin House
636,Salinas,US,70.99,mist,36.6777,-121.6555,Laurel Inn & Conference Center
644,Griffith,US,83.08,overcast clouds,41.5284,-87.4237,Apartment above Depot Bar
648,Antsohihy,MG,75.78,clear sky,-14.8796,47.9875,Hotel de Ville
650,Ewa Beach,US,75.15,clear sky,21.3156,-158.0072,Base Lodging
652,Utrecht,NL,74.08,clear sky,52.0,5.25,Night Dijk
656,Harrisburg,US,75.13,broken clouds,40.2737,-76.8844,Hilton Harrisburg
658,Phangnga,TH,82.44,overcast clouds,8.4509,98.5298,Sunimit Mansion
659,Show Low,US,75.65,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
660,Inhambane,MZ,71.58,few clouds,-23.865,35.3833,Oceano
662,Salamiyah,SY,78.89,broken clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
665,Arona,ES,70.12,overcast clouds,28.0996,-16.681,Paradise Court
666,Matias Olimpio,BR,82.42,overcast clouds,-3.7158,-42.5556,POSTO E HOTEL ZONA FRANCA
671,Lorengau,PG,80.98,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
676,Great Yarmouth,GB,73.42,scattered clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
678,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Pirineos
681,Madridejos,ES,84.72,scattered clouds,39.4682,-3.532,CASA RURAL LA ALAMEDA
687,Harper,LR,74.44,moderate rain,4.375,-7.7169,Screensaver
691,Timmins,CA,80.42,scattered clouds,48.4669,-81.3331,The Senator Hotel & Conference Centre
695,Conakry,GN,82.42,scattered clouds,9.538,-13.6773,Riviera Royal Hotel
697,Arroyo,ES,71.64,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
698,Ilheus,BR,82.22,broken clouds,-14.7889,-39.0494,Barravento Hotel
699,Monte Di Procida,IT,72.66,broken clouds,40.7981,14.0502,Hotel Cala Moresca
